source,title,description,url,published_at,content
Google News,Stanley recalls lids of 2.6 million mugs after dozens of burn injuries - The Washington Post,,https://news.google.com/rss/articles/CBMiowFBVV95cUxNcHhFVWVoRVB2VFE1dTlQXzVxNnlndEZ1RGM4b0pscG8zNjVKTTViVmp1WDB6OGpOTE0zYUR5al8wS2hDMlVMSjg4Y2MtZ2syX2UxUHZjOVZEWDJRN2N4ZE1LMk1hellWZUg4Qnk0U0FyeGhsV2VoQkVKWHozajUzRGxiSGlRcTlZc3lPaml2RWhRQWdyZDljdjUwdklmNkxidk1v?oc=5,2024-12-13T13:42:48Z,
Google News,President-Elect Trump Could Be a Game Changer for Ripple. Should You Buy XRP Before Jan. 20? - The Motley Fool,,https://news.google.com/rss/articles/CBMilwFBVV95cUxQYTFhUmUwZUl6SllFU1hxcFJWczNQb09hOHBvMUIxSVhqc3gyN3E3QU8wY2h2TFlBUHNYLTREUGtQQmx6aTNncFRFRGItT0V2ZlNIc3MxekdsOEJUU2thWld3eWptbUdGVURjNmVzZ1ZRQXpBaEdWV29aZ1FXU2VoRVUtZThDODFIZTRYOHZmbU1JWFhEakYw?oc=5,2024-12-13T13:15:00Z,
Google News,Google debuts NotebookLM for enterprises - TechCrunch,,https://news.google.com/rss/articles/CBMif0FVX3lxTE91cElEazdMLTFvVGYybGdzMUt6VVlybTZoWlRxVEc0VXNMcGlyaXNFWGlwNC15YVB5aDhMSXVSdUt5VVRsNVFBc0dqTkNyWlFjbmFOSTJZZEpFV2lOVWNqUm9ybDNSUWQwWUVMNXlQdVVUaHJmel9JMU52SEpkdWs?oc=5,2024-12-13T15:30:00Z,
IGN,You Can Save $10 Right Now on The Game Awards’ GOTY Winner Astro Bot - IGN,"The Game Awards 2024's Game of the Year winner, Astro Bot, has gotten a $10 discount at various retailers.",https://www.ign.com/articles/astro-bot-deal-the-game-awards-game-of-the-year-winner,2024-12-13T15:25:12Z,"It's official: The Game Awards named Astro Bot as 2024's Game of the Year. This delightful game absolutely deserves the recognition, and if you've been hoping to pick it up there's no better time tha… [+1571 chars]"
Google News,Intel Arc B580 Battlemage Linux Workstation Graphics Performance Review - Phoronix,,https://news.google.com/rss/articles/CBMiakFVX3lxTE9VOE4yWnNNbHdNYVc4MUJiYmZlOHBPV3prYzd1VG81ZWlQLXUxQ2FfV1BNN3dXdUlHemVYR3h5aGJqdUdHZGFSMWlaTXdnbFh2Wm5iYVpSZm9QV2c4Q0RwcG44LVNCVHN1NXc?oc=5,2024-12-13T15:20:00Z,
Gizmodo.com,Microsoft Recall Can Still Potentially Screenshot Your Sensitive Information - Gizmodo,"Even after Microsoft delayed Recall for half a year, the auto-screenshotting AI feature still needs to iron out some rough edges.",https://gizmodo.com/microsoft-recall-sensitive-information-2000538351,2024-12-13T14:46:09Z,"Earlier this year, Microsoft Recall, the auto-screenshotting photographic memory feature for Windows 11 Copilot+ PCs, was delayed due to large-scale security flaws. Now that it’s back, to some extent… [+3031 chars]"
Ars Technica,Twirling body horror in gymnastics video exposes AI’s flaws - Ars Technica,"Nonsensical movements created by OpenAI’s Sora are typical for current AI-generated video, and here’s why.",https://arstechnica.com/information-technology/2024/12/twirling-body-horror-in-gymnastics-video-exposes-ais-flaws/,2024-12-13T14:12:48Z,
Forbes,iOS 18.2—Update Now Warning Issued To All iPhone Users - Forbes,"Apple has issued iOS 18.2, along with the first major Apple Intelligence features and 21 updates you should apply to your iPhone now. Here's what you need to know.",https://www.forbes.com/sites/kateoflahertyuk/2024/12/13/ios-182-update-now-warning-issued-to-all-iphone-users/,2024-12-13T13:09:31Z,"Apple has released iOS 18.2, along with Apple Intelligence features and 21 security reasons to ... [+] update now.
Apple iPhone
Update Dec. 13, 2024: This story, originally published Dec. 11, now i… [+6061 chars]"
IGN,Elden Ring Nightreign Features Bosses From Dark Souls - IGN,"FromSoftware surprised everyone at The Game Awards last night with the reveal of co-op spin-off Elden Ring Nightreign, but if that's not shocking enough, it also features bosses from Dark Souls.",https://www.ign.com/articles/elden-ring-nightreign-features-bosses-from-dark-souls,2024-12-13T12:04:31Z,"FromSoftware surprised everyone at The Game Awards 2024 last night with the reveal of co-op spin-off Elden Ring Nightreign, but if that's not shocking enough, it also features bosses from Dark Souls.… [+1632 chars]"
Google News,"Best Buy Launches New Holiday Sale With Doorbuster Deals on AirPods, Sonos, TVs and More - CNET",,https://news.google.com/rss/articles/CBMitAFBVV95cUxOSG5rRVpZT29vYlg5eVhWOHFGdG1LeHRCQXMtbXBzZmdNSk9jbnA5QlhNTVBBRnhpQ2pxODUyeFp6ejczUzNEYl9PcjZTTEg3NWJHYThpZ2VrZGtHa2N3c21vM19qM2VRRjBVSXhpUXhfMUlSOFBPcUdJZVBmTXdSSzIxSmdveGhraGZmdXRiUDJaWU4ybzhWalFiZ0VPTHlGMHlCSWRuSGRpZkt4aHZrMXZGaHY?oc=5,2024-12-13T11:52:00Z,
MacRumors,iPhone 17 Air Model Enters Product Introduction Phase at Foxconn - MacRumors,"Apple's rumored new iPhone 17 Air model has entered the new product introduction phase (NPI) at Foxconn, according to supply chain sources (via...",https://www.macrumors.com/2024/12/13/iphone-17-air-enters-product-introduction-phase/,2024-12-13T10:57:49Z,"Apple's rumored new iPhone 17 Air model has entered the new product introduction phase (NPI) at Foxconn, according to supply chain sources (via DigiTimes). 
The NPI phase transitions a product from … [+1713 chars]"
Google News,Apple to stop selling iPhone SE and iPhone 14 in Europe as USB-C deadline hits - 9to5Mac,,https://news.google.com/rss/articles/CBMifEFVX3lxTE42aW5FNmxUci02QzRQNHpkaG80eGRjb09CdjZRSmM3aUhWOGYwWXFyczVoZnBNZU5ZT3dJdWo4SkdyemxaUHlNT1UxRnNta1FZX1BkUkZfSTJud1g2emJ0S3VXVk1LYmtlb2hCc0h2c2NQWjNmWm5ZVUo2Mnc?oc=5,2024-12-13T10:13:00Z,
Wccftech,"Apple’s A20 Pro Rumored To Be Found In The iPhone 18 Pro, iPhone 18 Pro Max, Will Reportedly Be 70 Percent More Expensive, But Price Estimates Do Not Make Sense - Wccftech","A new report reveals that Apple’s A20 Pro will be up to 70 percent more expensive due to using TSMC’s 2nm process, but the pricing is confusing",https://wccftech.com/apple-a2-pro-reportedly-70-percent-more-expensive-but-prices-do-not-make-sense/,2024-12-13T08:52:00Z,"TSMC recently achieved a major milestone as its 2nm trial production hit yields of 60 percent, which only means that mass production of wafers on this lithography will likely happen earlier than expe… [+2084 chars]"
Google News,A massive Helldivers 2 update just dropped during The Game Awards show - Windows Central,,https://news.google.com/rss/articles/CBMirAFBVV95cUxPSlNJaGtfSEljUEY1Vm9wbkVqUW53aFdpYjVneU1Wd1luN0hxNnBBemNfYy1wcjN0ak9RV2hJRWlGRHBVR3ZWQjBQZHZpZk9hdUlhdkc2dkNjSXZZejh2N3hkZ2Y4MnVfTkZ5OXdwV050OGQ3d2ZSbGF1YW1Ra0JjX2NMcU54WUoxa0F5S3E5LXFrcU9TZTdGQ3J4SXRZR0VxRkpXQnRvTXVzQUIw?oc=5,2024-12-13T02:52:34Z,
